filename,onethird_movement,twothird_movement,lastthird_movement,total_frame,inflorescence_close,inflorescence_open,inflorescence_shedding,length of petal(0.1mm)
VID_20220405_144933.mp4,190,120,255,565,1,2,4,158
VID_20220405_145131.mp4,72,58,172,302,1,1,1,157
VID_20220405_145540.mp4,86,66,107,259,2,2,8,170
VID_20220405_145650.mp4,52,47,97,196,2,2,8,150
VID_20220405_145937.mp4,73,64,123,260,2,2,8,150
VID_20220405_151235.mp4,131,103,245,479,0,3,6,108
VID_20220405_151519.mp4,81,68,56,205,0,1,9,171
VID_20220405_152244.mp4,49,30,65,144,2,1,0,137
VID_20220405_152346.mp4,42,27,54,123,2,1,1,114
VID_20220405_152450.mp4,222,99,111,432,0,2,3,130
VID_20220405_152547.mp4,132,49,87,268,1,2,3,134
VID_20220405_152655.mp4,120,68,64,252,1,4,2,147
VID_20220405_152829.mp4,315,120,113,548,1,1,5,130
VID_20220405_153018.mp4,255,108,123,486,0,3,8,160
VID_20220405_153249.mp4,41,41,78,160,1,1,5,122
VID_20220405_153446.mp4,227,137,150,514,0,3,8,139
VID_20220405_154005.mp4,102,80,207,389,2,2,9,93
VID_20220405_154138.mp4,210,128,146,484,2,2,0,112
VID_20220405_154308.mp4,72,64,176,312,2,3,9,118
VID_20220405_154548.mp4,119,47,116,282,3,2,0,154
VID_20220405_154739.mp4,121,53,87,261,0,1,9,171
VID_20220405_161750.mp4,105,60,255,420,2,2,9,116
VID_20220405_161902.mp4,120,127,300,547,0,3,8,136
VID_20220405_162006.mp4,112,73,227,412,2,2,9,116
VID_20220405_162120.mp4,167,49,86,302,2,1,8,141
VID_20220405_162235.mp4,70,26,55,151,1,1,4,106
VID_20220409_153244.mp4,38,32,113,183,1,4,2,147
VID_20220409_153446.mp4,48,31,44,123,1,1,4,106
VID_20220409_153725.mp4,66,39,70,175,2,4,0,111
VID_20220409_153837.mp4,134,53,56,243,2,4,0,181
VID_20220409_153936.mp4,78,86,92,256,1,4,2,154
VID_20220409_154100.mp4,48,66,95,209,1,2,3,134
VID_20220409_154142.mp4,91,58,73,222,2,1,1,172
VID_20220409_154250.mp4,237,53,162,452,1,2,4,158
VID_20220409_154353.mp4,115,80,160,355,1,3,7,106
VID_20220409_154441.mp4,182,198,270,650,0,3,6,108
VID_20220409_154542.mp4,62,94,157,313,2,3,9,106
VID_20220409_154706.mp4,126,113,210,449,3,3,1,87
VID_20220409_154831.mp4,84,47,55,186,1,4,2,154
VID_20220409_155001.mp4,88,73,196,357,1,3,7,98
VID_20220409_161025.mp4,46,18,16,80,2,5,5,158
VID_20220409_161112.mp4,41,19,45,105,0,1,8,118
VID_20220409_161155.mp4,30,13,24,67,2,5,5,171
VID_20220409_161317.mp4,40,33,57,130,1,1,7,134
VID_20220409_161535.mp4,39,36,69,144,2,1,1,114
VID_20220409_161632.mp4,58,30,66,154,1,2,2,151
VID_20220409_161709.mp4,44,39,55,138,2,2,6,145
VID_20220409_161853.mp4,115,85,101,301,2,2,8,169
VID_20220409_162138.mp4,64,58,62,184,1,4,2,147
VID_20220409_162226.mp4,37,25,28,90,1,1,5,148
VID_20220409_162412.mp4,53,47,126,226,3,1,0,159
VID_20220409_162641.mp4,199,152,233,584,1,2,4,150
VID_20220409_163104.mp4,73,47,129,249,2,4,0,111
VID_20220409_172059.mp4,67,71,119,257,1,4,2,131
VID_20220409_172156.mp4,118,60,117,295,3,2,0,149
